10.m00060 100 102
10.m00060 192 671

10.m00062 101 355
10.m00062 445 912

10.m00063 101 172
10.m00063 281 619

11.m00103 101 309
11.m00103 995 1088
11.m00103 1705 1844
11.m00103 2744 2818
11.m00103 2967 3124
11.m00103 3244 3344
11.m00103 3438 3503

11.m00117 100 303
11.m00117 411 516
11.m00117 3396 3451

12.m00107 100 513
12.m00107 1503 1643
12.m00107 2117 2389
12.m00107 2740 2883

12.m00082 101 499
12.m00082 580 669

12.m00083 101 231
12.m00083 1342 1597

12.m00098 100 163
12.m00098 244 425

16.m00100 101 121
16.m00100 266 371
16.m00100 2243 2344
16.m00100 2713 2781
16.m00100 2871 2908

16.m00097 101 322
16.m00097 415 620
16.m00097 715 936
16.m00097 1055 1191
16.m00097 1296 1393
16.m00097 1502 1599
16.m00097 1740 1902
16.m00097 1986 2102
16.m00097 2185 2292
16.m00097 2392 2454
16.m00097 2544 2657
16.m00097 2774 2939
16.m00097 3018 3130
16.m00097 3224 3361
16.m00097 3719 3849
16.m00097 3970 4035
16.m00097 4215 4278
16.m00097 4402 4513
16.m00097 4603 4676
16.m00097 5257 5351
16.m00097 5440 5471
16.m00097 5564 5739

18.m00079 101 251
18.m00079 1438 1478
18.m00079 2114 2174
18.m00079 2315 2417
18.m00079 2533 2635
18.m00079 2728 2781
18.m00079 2886 2948
18.m00079 3282 3331
18.m00079 3407 3482
18.m00079 3753 3938
18.m00079 4084 4171
18.m00079 4575 4660
18.m00079 4751 4858
18.m00079 5054 5098
18.m00079 5230 5318
18.m00079 5895 5938
18.m00079 7103 7215

18.m00089 100 226
18.m00089 304 481
18.m00089 1902 1983
18.m00089 2553 2729
18.m00089 2820 2987
18.m00089 3112 3303

18.m00091 101 307
18.m00091 410 439
18.m00091 1166 1324
18.m00091 1887 1981
18.m00091 2911 3016

21.m00078 100 222
21.m00078 593 889

26.m00092 100 336
26.m00092 490 675
26.m00092 780 1397

31.m00134 101 253
31.m00134 459 507
31.m00134 583 1217

35.m00105 101 337
35.m00105 1073 1330

35.m00077 101 113
35.m00077 220 504
35.m00077 1662 1703
35.m00077 1805 1887

35.m00085 100 308
35.m00085 1278 1446
35.m00085 1576 1701
35.m00085 2555 2620
35.m00085 2739 2789

38.m00069 101 251
38.m00069 354 601
38.m00069 687 1082

39.m00034 100 142
39.m00034 1951 2109
39.m00034 2194 2369
39.m00034 2693 2970
39.m00034 3066 3201
39.m00034 3311 3422
39.m00034 3549 3643

43.m00100 101 154
43.m00100 709 821
43.m00100 911 965
43.m00100 1066 1121
43.m00100 1375 1422
43.m00100 1627 1675
43.m00100 1778 1861
43.m00100 1988 2055
43.m00100 2152 2277
43.m00100 2372 2447
43.m00100 2592 2675

43.m00072 101 335
43.m00072 1294 1535
43.m00072 1671 2804

43.m00081 101 235
43.m00081 354 453
43.m00081 549 571
43.m00081 790 879
43.m00081 1167 1493

3.m00114 100 403
3.m00114 519 595
3.m00114 706 786
3.m00114 1266 1394
3.m00114 1720 1773
3.m00114 2190 2280
3.m00114 2373 2443
3.m00114 2528 2597
3.m00114 2746 2798
3.m00114 2890 2983
3.m00114 3327 3424
3.m00114 4884 4967

3.m00090 101 398
3.m00090 1307 1662
3.m00090 2320 2397
3.m00090 2485 2609
3.m00090 3445 3526
3.m00090 3623 3796
3.m00090 3987 4068
3.m00090 4165 4256
3.m00090 4367 4429
3.m00090 4508 4597
3.m00090 5261 5385
3.m00090 5510 5618
3.m00090 5700 5752
3.m00090 5888 5927
3.m00090 6758 6916

4.m00074 101 199
4.m00074 311 390
4.m00074 479 1058

7.m00068 101 445
7.m00068 856 1071
7.m00068 1282 1566
7.m00068 1874 2212
7.m00068 2749 2949
7.m00068 3322 3513

8.m00108 101 453
8.m00108 627 697
8.m00108 1336 1349

8.m00116 100 169
8.m00116 983 1083
8.m00116 1573 2412
8.m00116 2498 2644
8.m00116 2740 3120

8.m00117 101 164
8.m00117 288 349
8.m00117 524 745

8.m00118 101 164
8.m00118 251 312
8.m00118 407 628

8.m00119 101 167
8.m00119 278 339
8.m00119 454 675

8.m00120 101 164
8.m00120 270 331
8.m00120 459 680

8.m00131 101 149
8.m00131 720 832

8.m00138 101 212
8.m00138 311 396
8.m00138 487 537
8.m00138 1208 1273
8.m00138 2093 2159
8.m00138 2313 2392
8.m00138 2528 2596

8.m00139 101 164
8.m00139 274 335
8.m00139 437 658

9.m00110 101 309
9.m00110 995 1088
9.m00110 1705 1781
9.m00110 2744 2818
9.m00110 2967 3124
9.m00110 3244 3344
9.m00110 3438 3503

9.m00111 100 579
9.m00111 2170 2411
9.m00111 2699 2945

9.m00127 101 229
9.m00127 310 459

9.m00128 101 356
9.m00128 1217 1281

GB.C:A23331 100 441

GB.C:A23332 100 462

GB.C:AB001348 100 214
GB.C:AB001348 328 470
GB.C:AB001348 1211 1291
GB.C:AB001348 1378 1526
GB.C:AB001348 2147 2239
GB.C:AB001348 2321 2444
GB.C:AB001348 2566 2631
GB.C:AB001348 2778 2844
GB.C:AB001348 3016 3092
GB.C:AB001348 3163 3276
GB.C:AB001348 3589 3666
GB.C:AB001348 3751 3902
GB.C:AB001348 3979 4039
GB.C:AB001348 4177 4283
GB.C:AB001348 4437 4527

GB.C:AB001920 100 207
GB.C:AB001920 748 2644
GB.C:AB001920 3123 3556

GB.C:AB002109 100 222
GB.C:AB002109 425 499
